mode	category	policy_name	score
pvp	combat	baseline_10M	0.060323
pvp	combat	learner	0.022414
pvp	combat	takeru_100M	0.141534
pvp	combat	takeru_200M	0.179071
pvp	combat	takeru_25M	0.103009
pvp	combat	takeru_50M	0.108632
pvp	combat	yaofeng_100M	0.249735
pvp	combat	yaofeng_200M	0.298348
pvp	combat	yaofeng_25M	0.168542
pvp	combat	yaofeng_50M	0.204556
pvp	exploration	baseline_10M	0.104342
pvp	exploration	learner	0.018378
pvp	exploration	takeru_100M	0.098290
pvp	exploration	takeru_200M	0.121019
pvp	exploration	takeru_25M	0.082401
pvp	exploration	takeru_50M	0.099748
pvp	exploration	yaofeng_100M	0.140990
pvp	exploration	yaofeng_200M	0.163010
pvp	exploration	yaofeng_25M	0.117004
pvp	exploration	yaofeng_50M	0.127692
pvp	item	baseline_10M	0.051819
pvp	item	learner	0.011147
pvp	item	takeru_100M	0.118230
pvp	item	takeru_200M	0.139118
pvp	item	takeru_25M	0.088768
pvp	item	takeru_50M	0.092103
pvp	item	yaofeng_100M	0.191561
pvp	item	yaofeng_200M	0.234871
pvp	item	yaofeng_25M	0.118466
pvp	item	yaofeng_50M	0.150575
pvp	market	baseline_10M	0.064515
pvp	market	learner	0.007175
pvp	market	takeru_100M	0.251776
pvp	market	takeru_200M	0.316602
pvp	market	takeru_25M	0.198542
pvp	market	takeru_50M	0.153054
pvp	market	yaofeng_100M	0.484392
pvp	market	yaofeng_200M	0.600675
pvp	market	yaofeng_25M	0.354815
pvp	market	yaofeng_50M	0.357944
pvp	skill	baseline_10M	0.031309
pvp	skill	learner	0.000465
pvp	skill	takeru_100M	0.069499
pvp	skill	takeru_200M	0.086037
pvp	skill	takeru_25M	0.046213
pvp	skill	takeru_50M	0.051050
pvp	skill	yaofeng_100M	0.133303
pvp	skill	yaofeng_200M	0.158695
pvp	skill	yaofeng_25M	0.090882
pvp	skill	yaofeng_50M	0.104352
pvp	survival	baseline_10M	0.106365
pvp	survival	learner	0.033430
pvp	survival	takeru_100M	0.246154
pvp	survival	takeru_200M	0.336503
pvp	survival	takeru_25M	0.181260
pvp	survival	takeru_50M	0.170122
pvp	survival	yaofeng_100M	0.523936
pvp	survival	yaofeng_200M	0.591548
pvp	survival	yaofeng_25M	0.307280
pvp	survival	yaofeng_50M	0.415081
